Entity ID,Acquisition Date,Mission,Frame,Direction Flag,Image Type,Camera Type,Camera Resolution,Film Type,Generation,Polarity,Down Load Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Cormer Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
DS1105-1086DA136,1968/11/09,1105-1,136,086D,1,Aft,Stereo High,Black and White,2,Negative,1,30°16'12"N,119°07'22.80"E,30°12'00"N,117°55'58.80"E,30°27'57.60"N,120°18'00"E,30°18'57.60"N,120°16'58.80"E,30°04'58.80"N,117°58'58.80"E,30.27,119.123,30.2,117.933,30.466,120.3,30.316,120.283,30.083,117.983,DS1105-1086DA136
DS1105-1086DA137,1968/11/09,1105-1,137,086D,1,Aft,Stereo High,Black and White,2,Negative,1,30°08'24"N,119°08'09.60"E,30°03'57.60"N,117°57'00"E,30°19'58.80"N,120°18'00"E,30°12'00"N,120°18'00"E,29°57'00"N,118°00'00"E,30.14,119.136,30.066,117.95,30.333,120.3,30.2,120.3,29.95,118,DS1105-1086DA137
DS1105-1086DA138,1968/11/09,1105-1,138,086D,1,Aft,Stereo High,Black and White,2,Negative,1,30°01'12"N,119°08'52.80"E,29°57'00"N,117°57'57.60"E,30°12'57.60"N,120°18'57.60"E,30°04'58.80"N,120°18'00"E,29°48'57.60"N,118°00'57.60"E,30.02,119.148,29.95,117.966,30.216,120.316,30.083,120.3,29.816,118.016,DS1105-1086DA138
DS1105-1086DF130,1968/11/09,1105-1,130,086D,1,Forward,Stereo High,Black and White,2,Negative,1,30°15'00"N,119°05'38.40"E,30°09'57.60"N,117°55'58.80"E,30°27'00"N,120°13'58.80"E,30°18'57.60"N,120°16'58.80"E,30°01'58.80"N,117°55'58.80"E,30.25,119.094,30.166,117.933,30.45,120.233,30.316,120.283,30.033,117.933,DS1105-1086DF130
DS1105-1086DF131,1968/11/09,1105-1,131,086D,1,Forward,Stereo High,Black and White,2,Negative,1,30°07'12"N,119°05'52.80"E,30°03'57.60"N,117°55'58.80"E,30°18'00"N,120°15'00"E,30°09'57.60"N,120°16'58.80"E,29°55'58.80"N,117°55'58.80"E,30.12,119.098,30.066,117.933,30.3,120.25,30.166,120.283,29.933,117.933,DS1105-1086DF131
DS1105-1086DF132,1968/11/09,1105-1,132,086D,1,Forward,Stereo High,Black and White,2,Negative,1,29°59'24"N,119°06'39.60"E,29°55'58.80"N,117°57'00"E,30°09'57.60"N,120°15'00"E,30°01'58.80"N,120°18'00"E,29°48'00"N,117°57'00"E,29.99,119.111,29.933,117.95,30.166,120.25,30.033,120.3,29.8,117.95,DS1105-1086DF132
DS1105-2231DA091,1968/11/18,1105-2,91,231D,1,Aft,Stereo High,Black and White,2,Negative,1,30°25'12"N,120°38'09.60"E,30°21'57.60"N,119°27'57.60"E,30°36'00"N,121°46'58.80"E,30°27'57.60"N,121°46'58.80"E,30°13'58.80"N,119°30'57.60"E,30.42,120.636,30.366,119.466,30.6,121.783,30.466,121.783,30.233,119.516,DS1105-2231DA091
DS1105-2231DA092,1968/11/18,1105-2,92,231D,1,Aft,Stereo High,Black and White,2,Negative,1,30°18'00"N,120°38'52.80"E,30°13'58.80"N,119°28'58.80"E,30°28'58.80"N,121°48'00"E,30°21'00"N,121°46'58.80"E,30°06'00"N,119°31'58.80"E,30.3,120.648,30.233,119.483,30.483,121.8,30.35,121.783,30.1,119.533,DS1105-2231DA092
DS1105-2231DA093,1968/11/18,1105-2,93,231D,1,Aft,Stereo High,Black and White,2,Negative,1,30°10'12"N,120°39'54"E,30°06'00"N,119°30'00"E,30°21'57.60"N,121°48'57.60"E,30°13'58.80"N,121°48'00"E,29°57'57.60"N,119°33'00"E,30.17,120.665,30.1,119.5,30.366,121.816,30.233,121.8,29.966,119.55,DS1105-2231DA093
DS1105-2231DF085,1968/11/18,1105-2,85,231D,1,Forward,Stereo High,Black and White,2,Negative,1,30°24'36"N,120°36'21.60"E,30°19'58.80"N,119°27'57.60"E,30°36'00"N,121°43'58.80"E,30°28'58.80"N,121°45'57.60"E,30°12'00"N,119°27'57.60"E,30.41,120.606,30.333,119.466,30.6,121.733,30.483,121.766,30.2,119.466,DS1105-2231DF085
